City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
213,Takoradi,GH,2021-10-03 06:13:18,4.8845,-1.7554,75.27,92,90,6.24
214,Karratha,AU,2021-10-03 06:13:19,-20.7377,116.8463,82.67,24,3,13.2
215,Melo,UY,2021-10-03 06:13:19,-32.3667,-54.1833,53.62,87,94,4.72
216,Bathsheba,BB,2021-10-03 06:13:20,13.2167,-59.5167,84.81,70,20,21.85
217,Airai,TL,2021-10-03 06:13:20,-8.9266,125.4092,72.88,55,77,2.35
218,Bredasdorp,ZA,2021-10-03 06:08:40,-34.5322,20.0403,50.29,65,80,6.82
219,Vila Velha,BR,2021-10-03 06:13:21,-20.3297,-40.2925,76.95,83,90,11.5
220,Los Llanos De Aridane,ES,2021-10-03 06:13:21,28.6585,-17.9182,67.75,83,0,11.5
221,Ketchikan,US,2021-10-03 06:13:21,55.3422,-131.6461,44.58,84,100,7.14
222,Kapit,MY,2021-10-03 06:13:22,2.0167,112.9333,89.38,54,98,3.06
223,Oktyabrskoye,RU,2021-10-03 06:13:22,43.0645,44.7417,48.34,93,90,2.24
224,Esperance,AU,2021-10-03 06:09:19,-33.8667,121.9,58.62,52,77,23.96
225,Port Hardy,CA,2021-10-03 06:13:23,50.6996,-127.4199,48.07,87,78,4.9
226,Cervo,ES,2021-10-03 06:13:24,43.6702,-7.4101,53.19,67,89,18.03
227,Suluq,LY,2021-10-03 06:13:24,31.6682,20.2521,68.38,58,0,10.16
228,Hofn,IS,2021-10-03 06:09:11,64.2539,-15.2082,45.05,79,90,21.72
229,Clyde River,CA,2021-10-03 06:10:28,70.4692,-68.5914,35.33,86,100,4.92
230,Ferme-Neuve,CA,2021-10-03 06:13:25,46.7001,-75.4493,48.72,96,99,2.1
231,Padang,ID,2021-10-03 06:09:12,-0.9492,100.3543,87.85,72,88,5.1
232,Tautira,PF,2021-10-03 06:13:25,-17.7333,-149.15,80.62,76,20,10.94
233,Verkhoyansk,RU,2021-10-03 06:13:26,67.5447,133.385,33.15,54,8,1.83
234,Westport,US,2021-10-03 06:13:26,41.1415,-73.3579,67.75,84,1,1.99
235,Kahului,US,2021-10-03 06:09:41,20.8947,-156.47,78.84,83,20,9.22
236,Berlevag,NO,2021-10-03 06:09:08,70.8578,29.0864,47.12,77,82,31.32
237,Joshimath,IN,2021-10-03 06:13:27,30.5667,79.5667,74.23,67,25,6.96
238,Ahipara,NZ,2021-10-03 06:08:51,-35.1667,173.1667,60.6,86,100,16.08
239,Ust-Nera,RU,2021-10-03 06:13:28,64.5667,143.2,34.2,63,94,2.13
240,Nangong,CN,2021-10-03 06:13:28,37.3581,115.3744,69.82,95,100,3.15
241,Russell,US,2021-10-03 06:13:29,32.3502,-85.1999,72.63,93,40,0.0
242,Iqaluit,CA,2021-10-03 06:10:26,63.7506,-68.5145,36.0,63,0,6.49
