City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Touros,BR,-5.1989,-35.4608,76.1,82,5,12.91,clear sky
208,Nyurba,RU,63.2842,118.3319,39.13,46,53,10.98,broken clouds
209,Sinjai,ID,-5.1241,120.253,86.43,64,100,8.43,overcast clouds
210,Blagoyevo,RU,63.3667,47.9167,42.58,78,38,9.46,scattered clouds
211,Kostolac,RS,44.7149,21.1711,59.09,56,91,27.02,overcast clouds
212,Bengkulu,ID,-3.8004,102.2655,82.24,71,100,6.13,overcast clouds
213,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,11.5,light rain
214,Kieta,PG,-6.2167,155.6333,83.1,73,68,3.83,light rain
215,Airai,TL,-8.9266,125.4092,76.5,47,68,3.02,broken clouds
216,Bam,IR,29.106,58.357,88.07,12,73,4.88,broken clouds
217,Alangilan,PH,9.2793,122.8789,83.48,70,100,2.93,overcast clouds
218,Ust-Kuyga,RU,70.0167,135.6,30.54,80,100,18.03,overcast clouds
219,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,2.3,clear sky
220,Chau Doc,VN,10.7,105.1167,80.85,81,96,4.74,heavy intensity rain
221,Ibb,YE,13.9667,44.1833,74.8,30,3,3.36,clear sky
222,Tignere,CM,7.3667,12.65,66.11,89,98,1.74,overcast clouds
223,Newberry,US,34.2746,-81.6187,72.19,97,100,4.29,overcast clouds
224,San Cristobal,VE,7.7669,-72.225,69.98,98,95,2.26,overcast clouds
225,Bambous Virieux,MU,-20.3428,57.7575,77.25,69,75,8.05,broken clouds
226,Acarau,BR,-2.8856,-40.12,78.22,82,62,14.81,broken clouds
227,Laguna,US,38.421,-121.4238,70.23,69,1,1.99,clear sky
228,Maragogi,BR,-9.0122,-35.2225,73.85,83,62,5.03,broken clouds
229,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,20.71,scattered clouds
230,Ostrovnoy,RU,68.0531,39.5131,48.88,82,77,28.23,broken clouds
231,Genhe,CN,50.7833,121.5167,45.12,44,94,7.63,overcast clouds
232,Sangamner,IN,19.5667,74.2167,84.88,64,63,5.99,broken clouds
233,Keti Bandar,PK,24.1447,67.4497,84.16,63,15,5.41,few clouds
234,Northam,GB,51.0333,-4.2167,56.66,82,41,13.85,scattered clouds
235,Aklavik,CA,68.2191,-135.0107,31.03,91,29,5.64,scattered clouds
236,Salinopolis,BR,-0.6136,-47.3561,79.34,83,88,9.78,overcast clouds
237,Morant Bay,JM,17.8815,-76.4093,80.22,84,100,12.03,overcast clouds
238,Jiuquan,CN,39.7432,98.5174,61.99,29,65,11.01,broken clouds
239,Saint-Philippe,RE,-21.3585,55.7679,76.59,75,10,2.98,clear sky
240,Lokot,RU,52.565,34.5776,44.83,72,64,10.54,broken clouds
241,Qaanaaq,GL,77.484,-69.3632,20.46,77,50,8.01,scattered clouds
242,Georgetown,MY,5.4112,100.3354,77.95,94,40,8.01,heavy intensity rain
243,Mitsamiouli,KM,-11.3847,43.2844,80.89,69,20,8.05,few clouds
244,Padang,ID,-0.9492,100.3543,87.85,66,100,6.04,overcast clouds
245,Glendive,US,47.1053,-104.7125,67.17,24,1,4.61,clear sky
246,Manggar,ID,-2.8833,108.2667,84.69,66,71,9.08,broken clouds
247,Port Blair,IN,11.6667,92.75,81.46,78,99,11.25,overcast clouds
248,Honiara,SB,-9.4333,159.95,82.63,79,57,3.53,broken clouds
249,Port Hardy,CA,50.6996,-127.4199,46.4,100,75,2.3,light intensity shower rain
250,Tasiilaq,GL,65.6145,-37.6368,33.96,64,1,5.84,clear sky
251,Sabha,LY,27.0377,14.4283,70.7,39,0,8.41,clear sky
252,Kirakira,SB,-10.4544,161.9205,82.69,77,29,9.1,scattered clouds
253,Prieska,ZA,-29.6641,22.7474,65.82,13,44,8.88,scattered clouds
254,Hervey Bay,AU,-25.2986,152.8535,79.03,45,0,13.89,clear sky
255,Chapais,CA,49.7834,-74.8492,38.98,90,33,3.85,scattered clouds
256,Tuatapere,NZ,-46.1333,167.6833,58.26,85,78,4.07,broken clouds
257,Srednekolymsk,RU,67.45,153.6833,23.18,80,69,7.61,broken clouds
258,Pangai,TO,-19.8,-174.35,78.91,73,75,16.11,broken clouds
259,Acapulco,MX,16.8634,-99.8901,78.67,89,92,5.35,overcast clouds
260,Fairbanks,US,64.8378,-147.7164,34.92,90,90,0.0,fog
261,Warrnambool,AU,-38.3833,142.4833,64.81,69,90,6.76,light rain
262,Port Lincoln,AU,-34.7333,135.8667,58.96,75,100,26.46,overcast clouds
263,Asbestovskiy,RU,57.7557,61.3967,43.68,58,99,4.65,overcast clouds
264,Pacific Grove,US,36.6177,-121.9166,59.02,86,75,3.0,broken clouds
265,Ciudad Bolivar,VE,8.1222,-63.5497,77.95,83,19,10.51,few clouds
266,Porto Murtinho,BR,-21.6989,-57.8825,76.05,62,57,2.08,broken clouds
267,Zhuhai,CN,22.2769,113.5678,94.78,62,20,8.05,few clouds
268,Berlin,DE,52.5244,13.4105,56.35,93,40,5.99,scattered clouds
269,Katete,UG,-0.7818,29.7544,68.54,81,76,1.16,broken clouds
270,Miles City,US,46.4083,-105.8406,65.37,19,1,5.75,clear sky
271,Sechura,PE,-5.5569,-80.8222,63.54,85,39,9.86,scattered clouds
272,Eirunepe,BR,-6.6603,-69.8736,70.2,99,100,1.59,heavy intensity rain
273,Sao Filipe,CV,14.8961,-24.4956,78.94,75,6,11.16,clear sky
274,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.81,99,100,1.92,overcast clouds
275,Gresham,US,45.4982,-122.4315,52.36,95,84,1.01,broken clouds
276,Mayo,US,38.8876,-76.5119,70.9,93,90,5.01,overcast clouds
277,Te Anau,NZ,-45.4167,167.7167,57.74,79,82,2.01,broken clouds
278,San Patricio,US,28.017,-97.5169,79.84,58,0,4.36,clear sky
279,Prabumulih,ID,-3.45,104.25,89.55,54,100,2.35,overcast clouds
280,Wanlaweyn,SO,2.6185,44.8938,84.18,58,57,15.21,broken clouds
281,Mirnyy,RU,62.5353,113.9611,34.2,58,66,11.86,broken clouds
282,Cherskiy,RU,68.75,161.3,17.64,97,93,6.15,overcast clouds
283,Jinchang,CN,38.4953,102.1739,60.35,41,12,10.56,few clouds
284,Havoysund,NO,70.9963,24.6622,48.43,84,89,30.24,overcast clouds
285,Tateyama,JP,34.9833,139.8667,80.15,77,29,21.97,scattered clouds
286,Dongsheng,CN,39.8161,109.9776,47.95,84,100,5.61,overcast clouds
287,Ponta Do Sol,PT,32.6667,-17.1,70.43,77,100,4.72,overcast clouds
288,Ancud,CL,-41.8697,-73.8203,38.73,71,0,8.55,clear sky
289,Riyadh,SA,24.6877,46.7219,86.05,35,0,8.05,clear sky
290,Sao Raimundo Nonato,BR,-9.0153,-42.6994,76.39,39,6,4.29,clear sky
291,Khandbari,NP,27.3747,87.2039,79.5,72,40,4.65,scattered clouds
292,Vestmanna,FO,62.1564,-7.1664,36.52,100,75,1.14,broken clouds
293,Byron Bay,AU,-28.65,153.6167,78.91,44,0,9.89,clear sky
294,Tomatlan,MX,19.9333,-105.25,76.64,94,96,2.66,overcast clouds
295,Port Moresby,PG,-9.4431,147.1797,85.42,74,40,23.02,haze
296,Mountain Home,US,43.133,-115.6912,63.79,29,1,5.75,clear sky
297,Salinas,US,36.6777,-121.6555,59.52,80,40,5.75,scattered clouds
298,Poum,NC,-20.2333,164.0167,75.61,76,0,20.45,clear sky
299,Narsipatnam,IN,17.6667,82.6167,89.01,66,35,7.27,scattered clouds
300,Deputatskiy,RU,69.3,139.9,22.91,83,100,15.97,overcast clouds
301,Polunochnoye,RU,60.8697,60.4153,43.7,69,87,6.17,overcast clouds
302,Spring Hill,US,28.4769,-82.5255,78.82,66,1,5.75,clear sky
303,La Ronge,CA,55.1001,-105.2842,48.45,49,40,8.05,scattered clouds
304,Hambantota,LK,6.1241,81.1185,86.34,84,40,12.66,scattered clouds
305,Chinhoyi,ZW,-17.3667,30.2,74.79,49,0,7.16,clear sky
306,Rome,US,34.257,-85.1647,71.56,93,90,4.61,overcast clouds
307,Kayerkan,RU,69.3497,87.7602,35.35,99,100,13.2,light rain
308,Umm Kaddadah,SD,13.6017,26.6876,81.54,18,18,16.44,few clouds
309,Kargasok,RU,59.0556,80.8572,38.14,60,97,9.13,overcast clouds
310,Sindor,RU,62.8629,51.8905,41.45,75,63,8.75,broken clouds
311,Pinyug,RU,60.251,47.7842,40.87,74,53,7.0,broken clouds
312,Hvolsvollur,IS,63.7533,-20.2243,38.8,81,85,5.84,overcast clouds
313,Buala,SB,-8.145,159.5921,83.64,71,44,6.22,light rain
314,Vieques,PR,18.425,-65.8329,82.44,74,40,12.66,scattered clouds
315,Yarim,YE,14.298,44.3779,66.2,26,3,9.31,clear sky
316,Kosh-Agach,RU,50.0,88.6667,36.54,45,99,0.83,overcast clouds
317,Linjiang,CN,41.8069,126.9078,57.4,67,100,2.86,light rain
318,Grand Gaube,MU,-20.0064,57.6608,77.4,69,46,7.0,scattered clouds
319,Algiers,DZ,36.7525,3.042,55.22,72,20,3.44,few clouds
320,Newport,GB,51.5877,-2.9984,54.86,82,76,13.47,broken clouds
321,Ann Arbor,US,42.2776,-83.7409,64.24,93,90,3.0,overcast clouds
322,Cabangan,PH,15.158,120.0569,82.4,69,100,9.1,overcast clouds
323,Tsiroanomandidy,MG,-18.7667,46.0333,81.19,33,3,3.91,clear sky
324,Huarmey,PE,-10.0681,-78.1522,63.18,86,64,7.67,broken clouds
325,Coahuayana,MX,18.7333,-103.6833,78.66,88,100,2.33,overcast clouds
326,Te Karaka,NZ,-38.4654,177.8679,60.98,87,100,2.3,overcast clouds
327,Nizhniy Kuranakh,RU,58.8353,125.4869,37.42,73,100,5.79,overcast clouds
